timestamp,"{""InfraID"":""Edge-Pi4"",""instance"":""129.127.231.125:9100"",""job"":""node"",""label"":""Free Memory Percentage""}"
1617000699.891,36.24066150381295
1617000704.891,36.24066150381295
1617000709.891,36.24066150381295
1617000714.891,36.23841648902137
1617000719.891,36.23841648902137
1617000724.891,36.23841648902137
1617000729.891,38.549046940197904
1617000734.891,38.549046940197904
1617000739.891,38.549046940197904
1617000744.891,38.52404563910979
1617000749.891,38.52404563910979
1617000754.891,38.52404563910979
1617000759.891,38.5586392761256
